review,sentiment
brought phone wife die hard fan oppo offer like extra exchange oppo like waww exchange old oppo mobile got phone r best phone u want oppo brand name u boared ur old oppo phone review considering cost pro good feature considering cost size matter inch grt3 speaker good dolby4 come classic headphone good look decent sound quality phone day come headphone quad camera give good quality photo selfie camera also decent considering cost 5000mah battery8 use power bank phonescons original cost huge considering feature good brand like mi vivo moto etc sell 48mp camera phone accessory like back cover tempered glass yet market may u wait though transparent back cover included mobile box phone 24hrs use update something come,very negative
best option exchange got 9k review score design thing like screen size corner back panel camera position perfect light weight sound quality photography similar available option market day light usual clear crisp get time night photography repetitive uploaded pic night mode minimal light good battery backup best category heavy us 30hours normal us go day performance played many game seems good opening game auto memory cleaner run lag heat issue memory space gb free space basic apps pre installed separate card slot available gb ram available updation playing game also gb space availablepros apart mentioned point front cam good like similar phone earphone quality look good range dual speaker position front top display near charging pin stereo come properly4 face detection fast5 heating issue charging youtube gaming6 battery lasting day normal usescons fingerprint scanner position bit high2 ram gb would perfect option3 macro photo good compare redmi pro4 fast charger pack,neutral
good phone exchange,neutral
oppo make nice phone price range quad camera another option select realme smartphones comparatively low budget good camera phone like mostly battery back type c charger also like camera clearity already attached snap oppo a5 overall good performance phone speaker nice sound dual atmos thanks oppo,neutral
lowest speed ever seen android charger support battery hour take full charge,very negative
first thing slow charging mobile taking hour full charging friend bought mobile gb ram gb rom got hand free mobile gb ram rom providing hand free,very negative
camera give picture like keypad mobile vga camera poor camera u get redish image never seen worst device often get stuck apps evn u dnt pubg like game ur device still get stuck usual apps better buy keypad mobile rather oppo a5 struggled lot device finally got returned thank god truely suggest u people waste money buying device,very negative
pro phone look actually good good battery lifecons phone heavy camera performance upto mark go mi a3 u want con,negative
nice phone quite heavy might due 5000mah battery gaaming awesome camera upto mark quad camera locha night mode satisfy important thing lack led notification light must seeing price notification light must arranged bought phone exchange buy without exchange get much better phone price nest exchange,very negative
nyc,very negative
brought phone wife die hard fan oppo offer like extra exchange oppo like waww exchange old oppo mobile got phone r best phone u want oppo brand name u boared ur old oppo phone review considering cost pro good feature considering cost size matter inch grt3 speaker good dolby4 come classic headphone good look decent sound quality phone day come headphone quad camera give good quality photo selfie camera also decent considering cost 5000mah battery8 use power bank phonescons original cost huge considering feature good brand like mi vivo moto etc sell 48mp camera phone accessory like back cover tempered glass yet market may u wait though transparent back cover included mobile box phone 24hrs use update something come,very negative
best option exchange got 9k review score design thing like screen size corner back panel camera position perfect light weight sound quality photography similar available option market day light usual clear crisp get time night photography repetitive uploaded pic night mode minimal light good battery backup best category heavy us 30hours normal us go day performance played many game seems good opening game auto memory cleaner run lag heat issue memory space gb free space basic apps pre installed separate card slot available gb ram available updation playing game also gb space availablepros apart mentioned point front cam good like similar phone earphone quality look good range dual speaker position front top display near charging pin stereo come properly4 face detection fast5 heating issue charging youtube gaming6 battery lasting day normal usescons fingerprint scanner position bit high2 ram gb would perfect option3 macro photo good compare redmi pro4 fast charger pack,neutral
good phone exchange,neutral
oppo make nice phone price range quad camera another option select realme smartphones comparatively low budget good camera phone like mostly battery back type c charger also like camera clearity already attached snap oppo a5 overall good performance phone speaker nice sound dual atmos thanks oppo,neutral
lowest speed ever seen android charger support battery hour take full charge,very negative
first thing slow charging mobile taking hour full charging friend bought mobile gb ram gb rom got hand free mobile gb ram rom providing hand free,very negative
camera give picture like keypad mobile vga camera poor camera u get redish image never seen worst device often get stuck apps evn u dnt pubg like game ur device still get stuck usual apps better buy keypad mobile rather oppo a5 struggled lot device finally got returned thank god truely suggest u people waste money buying device,very negative
pro phone look actually good good battery lifecons phone heavy camera performance upto mark go mi a3 u want con,negative
nice phone quite heavy might due 5000mah battery gaaming awesome camera upto mark quad camera locha night mode satisfy important thing lack led notification light must seeing price notification light must arranged bought phone exchange buy without exchange get much better phone price nest exchange,very negative
nyc,very negative
oppo a5 faulty product selling amazon shake hand agent fool customer camera quality mobile worst regarding 3rd day wanted return product amazon denied saying fault product manufactured product manufactured product faulty shall take return product return money back amazon executive taking request return product straight away fooling customer amazon,very negative
mobile delivered 20july fingerprint scanner stopped working 11aug ie le month ai within one month purchase scanner stopped working anyone concerned already tried hard reset soft reset handset scanner never worked see video attached moreover still installing bloatware eg helo app banned indian government small issue still working safety indian customer thus never going recommend oppo mobile anyone even entry level forget high end series,very negative
